department_descr,product_group_descr,product_module_descr,rating_avg,rating_normalized
DRY GROCERY,BAKING SUPPLIES,BAKING CHIPS - MILK CHOCOLATE,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,FRUIT-GLAZED,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,COCONUT,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,BAKING CHOCOLATE,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,CHOCOLATE CHIPS & MORSELS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,BAKING CHIPS OTHER THAN CHOCOLATE,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,COCOA,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,FRUIT PROTECTORS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,FRUIT PECTINS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,BAKING POWDER,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,BAKING SODA,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,CORN/POTATO STARCH,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE BREADING STUFFING CROUTON,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE SPECIALTY DRIED BREAD,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE CAKE DECORATION AND ICING,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE BAKING CHOCOLATE CHIP COCOA,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE CAPERS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE BAKING SUPPLY,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PERISHABLE YEAST,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,RBC CAKE DECORATION AND ICING,4.03465346534654,0.29361500846545
DAIRY,DOUGH PRODUCTS,DOUGH PRODUCTS - COOKIES & BROWNIES - REFRIGERATED,4.03465346534654,0.29361500846545
DAIRY,DOUGH PRODUCTS,DOUGH PRODUCTS-SWEET ROLLS-REFRIGERATED,4.03465346534654,0.29361500846545
DAIRY,DOUGH PRODUCTS,DOUGH PRODUCTS-BISCUITS-REFRIGERATED,4.03465346534654,0.29361500846545
DAIRY,DOUGH PRODUCTS,DOUGH PRODUCTS-DINNER ROLLS-REFRIGERATED,4.03465346534654,0.29361500846545
DAIRY,DOUGH PRODUCTS,DOUGH PRODUCTS-REMAINING-REFRIGERATED,4.03465346534654,0.29361500846545
DRY GROCERY,FLOUR,CORN MEAL,4.03465346534654,0.29361500846545
DRY GROCERY,FLOUR,FLOUR - ALL PURPOSE - REMAINING,4.03465346534654,0.29361500846545
DRY GROCERY,FLOUR,FLOUR - SINGLE PURPOSE,4.03465346534654,0.29361500846545
DRY GROCERY,FLOUR,FLOUR-ALL PURPOSE-WHITE WHEAT,4.03465346534654,0.29361500846545
DRY GROCERY,FLOUR,PERISHABLE FLOUR AND MEAL,4.03465346534654,0.29361500846545
DAIRY,YEAST,YEAST-REFRIGERATED,4.03465346534654,0.29361500846545
GENERAL MERCHANDISE,BATTERIES AND FLASHLIGHTS,BATTERIES,3.62277227722772,0.181723933199441
GENERAL MERCHANDISE,BATTERIES AND FLASHLIGHTS,FLASHLIGHTS,3.62277227722772,0.181723933199441
GENERAL MERCHANDISE,"LIGHT BULBS, ELECTRIC GOODS",BATTERY CHARGERS,3.82574257425743,0.236862564039661
ALCOHOLIC BEVERAGES,BEER,BEER,5.33779608650876,0.647624934902647
ALCOHOLIC BEVERAGES,BEER,NEAR BEER/MALT BEVERAGE,5.33779608650876,0.647624934902647
ALCOHOLIC BEVERAGES,BEER,STOUT AND PORTER,5.33779608650876,0.647624934902647
ALCOHOLIC BEVERAGES,BEER,LIGHT BEER (LOW CALORIE/ALCOHOL),5.33779608650876,0.647624934902647
ALCOHOLIC BEVERAGES,BEER,ALE,5.33779608650876,0.647624934902647
ALCOHOLIC BEVERAGES,BEER,MALT LIQUOR,5.33779608650876,0.647624934902647
ALCOHOLIC BEVERAGES,BEER,RBC BEER,5.33779608650876,0.647624934902647
GENERAL MERCHANDISE,"HOUSEWARES, APPLIANCES",RBC COFFEE AND TEA MAKER APPLIANCE,5.85553278688525,0.788272572573078
GENERAL MERCHANDISE,"HOUSEWARES, APPLIANCES",BEER & WINE MAKING KITS,5.85553278688525,0.788272572573078
GENERAL MERCHANDISE,"HOUSEWARES, APPLIANCES",COFFEEMAKERS & PERCOLATORS,5.85553278688525,0.788272572573078
GENERAL MERCHANDISE,"HOUSEWARES, APPLIANCES",COFFEE AND TEA MAKER APPLIANCE,5.85553278688525,0.788272572573078
GENERAL MERCHANDISE,BOOKS AND MAGAZINES,BOOKS,4.76476793248945,0.491956897224702
GENERAL MERCHANDISE,BOOKS AND MAGAZINES,MAGAZINES,4.76476793248945,0.491956897224702
GENERAL MERCHANDISE,BOOKS AND MAGAZINES,TOP 200 MAGAZINES,4.76476793248945,0.491956897224702
GENERAL MERCHANDISE,BOOKS AND MAGAZINES,MAGAZINES SELECTED TITLES,4.76476793248945,0.491956897224702
DRY GROCERY,BREAD AND BAKED GOODS,REFERENCE CARD BAKED GOODS - CAKES,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,REFERENCE CARD BAKED GOODS - COOKIES,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,REFERENCE CARD BAKED GOODS - PIES,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,REFERENCE CARD BAKED GOODS - ALL OTHER,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE BAGEL,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE BREAD,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE DOUGHNUT,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE MUFFIN,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE PIE AND PASTRY,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE ROLL AND BUN AND BISCUIT,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE SWEET ROLL,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE CAKE,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE COOKIE,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE ENGLISH MUFFIN,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE CRUMPET AND SCONE,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,PERISHABLE CRUST AND SHELL,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY - BREAD - FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-BUNS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-ROLLS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-MUFFINS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-CAKES-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-BREAKFAST CAKES/SWEET ROLLS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-DOUGHNUTS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-PIES-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-BAGELS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-BISCUITS-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY - REMAINING - FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,BAKERY-CHEESECAKE-FRESH,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,RBC BREAD,4.70526315789474,0.475791912260777
DRY GROCERY,BREAD AND BAKED GOODS,RBC CAKE,4.70526315789474,0.475791912260777
DRY GROCERY,BREAKFAST FOOD,TOASTER PASTRIES,4.18217821782178,0.333691379173708
DRY GROCERY,BREAKFAST FOOD,GRANOLA & YOGURT BARS,4.18217821782178,0.333691379173708
DRY GROCERY,BREAKFAST FOOD,INSTANT BREAKFAST - POWDERED,4.18217821782178,0.333691379173708
DRY GROCERY,BREAKFAST FOOD,BREAKFAST BARS,4.18217821782178,0.333691379173708
FROZEN FOODS,BREAKFAST FOODS-FROZEN,PERISHABLE BREAKFAST ENTREE,4.18217821782178,0.333691379173708
FROZEN FOODS,BREAKFAST FOODS-FROZEN,PERISHABLE BREAKFAST PNCK WFL FRN TST,4.18217821782178,0.333691379173708
FROZEN FOODS,BREAKFAST FOODS-FROZEN,FROZEN/REFRIGERATED BREAKFASTS,4.18217821782178,0.333691379173708
FROZEN FOODS,BREAKFAST FOODS-FROZEN,TOASTER ITEMS - FROZEN,4.18217821782178,0.333691379173708
